chains	inicc	n	burnin	space	base_dist	alphaa	alphab	n_components	component_0	assignment	Davies_Bouldin	Silhouette
1	3	12	350	5000	20	gaussian	1	1	9	4	1833	3.13303140549408	0.0528389167156895
2	3	12	350	5000	20	uniform	1	1	7	62	1833	3.14102523722284	0.0582503758136202
3	3	12	350	5000	20	repetition	1	1	4	692	1982	3.17497477177314	0.0504942333083169
4	3	12	350	7000	20	gaussian	1	1	9	4	1838	3.11589501726141	0.0526153749722639
5	3	12	350	7000	20	uniform	1	1	8	56	1837	2.8571466666934	NaN
6	3	12	350	7000	20	repetition	1	1	5	11	1977	3.05659506039559	0.0473165759757428
7	3	12	450	5000	20	gaussian	1	1	9	4	1833	3.13014684209402	0.0526263019898018
8	3	12	450	5000	20	uniform	1	1	8	60	1835	2.87063318757873	NaN
9	3	12	450	5000	20	repetition	1	1	5	12	1972	3.07838690954432	0.0447701874022833
10	3	12	450	7000	20	gaussian	1	1	9	4	1840	3.12673798513672	0.0508805559314793
11	3	12	450	7000	20	uniform	1	1	7	55	1836	3.10438129634857	0.0595707959905225
12	3	12	450	7000	20	repetition	1	1	5	10	1976	3.04259444695852	0.0474171828707691
13	3	13	350	5000	20	gaussian	1	1	9	35	1840	3.22653569968084	0.0450057556964743
14	3	13	350	5000	20	uniform	1	1	8	4	1841	3.12926784084107	0.0393911929036368
15	3	13	350	5000	20	repetition	1	1	4	164	1958	3.24414822333531	0.0465916574604143
16	3	13	350	7000	20	gaussian	1	1	9	39	1841	3.22543020676398	0.0470729431089312
17	3	13	350	7000	20	uniform	1	1	9	3	1854	2.82954392417791	NaN
18	3	13	350	7000	20	repetition	1	1	4	153	1971	3.21244268134504	0.048469323979133
19	3	13	450	5000	20	gaussian	1	1	9	35	1835	3.21828228308994	0.0454897974353838
20	3	13	450	5000	20	uniform	1	1	9	3	1854	2.84146490669845	NaN
21	3	13	450	5000	20	repetition	1	1	4	159	1968	3.2311775642782	0.0476111628867878
22	3	13	450	7000	20	gaussian	1	1	9	35	1837	3.20040997321037	0.045211307710128
23	3	13	450	7000	20	uniform	1	1	9	3	1854	2.82010034440371	NaN
24	3	13	450	7000	20	repetition	1	1	4	155	1966	3.23403311070401	0.0474600944290359
25	3	14	350	5000	20	gaussian	1	1	9	50	1831	3.17227904660351	0.0472597448924697
26	3	14	350	5000	20	uniform	1	1	8	256	1717	3.22505698192307	NaN
27	3	14	350	5000	20	repetition	1	1	4	56	1945	3.5681608343488	0.0166671680170637
28	3	14	350	7000	20	gaussian	1	1	9	51	1831	3.18463870163889	0.0457841873155166
29	3	14	350	7000	20	uniform	1	1	6	183	1789	3.44173776697539	0.0646599877851096
30	3	14	350	7000	20	repetition	1	1	4	49	1947	3.53154547317976	0.0184906500752644
31	3	14	450	5000	20	gaussian	1	1	9	49	1829	3.15820137682408	0.0478255796219997
32	3	14	450	5000	20	uniform	1	1	6	212	1769	3.60454282105721	0.0636086637506563
33	3	14	450	5000	20	repetition	1	1	5	10	1954	3.38869319391644	0.00691163961432496
34	3	14	450	7000	20	gaussian	1	1	9	50	1830	3.14164134765095	0.0482992418206581
35	3	14	450	7000	20	uniform	1	1	8	171	1800	2.94209361065263	NaN
36	3	14	450	7000	20	repetition	1	1	4	45	1946	3.50238859165212	0.0195390765788833
37	3	15	350	5000	20	gaussian	1	1	10	0	1830	3.12025847907082	0.0526283487947084
38	3	15	350	5000	20	uniform	1	1	9	3	1835	2.87273464235271	NaN
39	3	15	350	5000	20	repetition	1	1	5	8	1966	3.13121886911114	0.0360055727747121
40	3	15	350	7000	20	gaussian	1	1	10	0	1836	3.1235022295599	0.0514437425721401
41	3	15	350	7000	20	uniform	1	1	9	3	1840	2.85832719016449	NaN
42	3	15	350	7000	20	repetition	1	1	5	12	1987	3.12910784747862	0.0401592949940047
43	3	15	450	5000	20	gaussian	1	1	10	0	1831	3.11799640353077	0.0526269243207513
44	3	15	450	5000	20	uniform	1	1	9	3	1838	2.87772331390985	NaN
45	3	15	450	5000	20	repetition	1	1	5	12	1977	3.16064823807922	0.0369363510843286
46	3	15	450	7000	20	gaussian	1	1	10	0	1842	3.11805163345895	0.0540495184264864
47	3	15	450	7000	20	uniform	1	1	9	2	1843	2.80728450271104	NaN
48	3	15	450	7000	20	repetition	1	1	5	14	1992	3.11633191181495	0.0418653228573467
49	4	12	350	5000	20	gaussian	1	1	9	1	1745	3.04838009186309	NaN
50	4	12	350	5000	20	uniform	1	1	8	102	1822	2.92415143647083	NaN
51	4	12	350	5000	20	repetition	1	1	5	8	1980	3.04825916555471	0.0460111759735006
52	4	12	350	7000	20	gaussian	1	1	9	1	1728	3.03357310789443	NaN
53	4	12	350	7000	20	uniform	1	1	8	78	1833	2.89848566308356	NaN
54	4	12	350	7000	20	repetition	1	1	5	6	1981	3.03668382441231	0.0488450951464301
55	4	12	450	5000	20	gaussian	1	1	9	1	1735	3.04978942354195	NaN
56	4	12	450	5000	20	uniform	1	1	8	88	1823	2.90679789413234	NaN
57	4	12	450	5000	20	repetition	1	1	5	6	1984	3.03873375971223	0.0487566109155325
58	4	12	450	7000	20	gaussian	1	1	9	1	1728	3.04120297636411	NaN
59	4	12	450	7000	20	uniform	1	1	8	74	1840	2.90517926263985	NaN
60	4	12	450	7000	20	repetition	1	1	5	4	1979	2.98989260121244	0.0495152868001614
61	4	13	350	5000	20	gaussian	1	1	9	38	1845	3.23507745385309	0.0436257430761933
62	4	13	350	5000	20	uniform	1	1	8	3	1836	3.13733233934545	0.0372017459313706
63	4	13	350	5000	20	repetition	1	1	4	163	1984	3.21413552216836	0.0484894407592928
64	4	13	350	7000	20	gaussian	1	1	9	39	1838	3.2333641469245	0.0436437488355983
65	4	13	350	7000	20	uniform	1	1	9	2	1860	2.8400131543517	NaN
66	4	13	350	7000	20	repetition	1	1	4	158	1985	3.20893970257252	0.0487667352696711
67	4	13	450	5000	20	gaussian	1	1	9	38	1843	3.22604900544264	0.045325365390458
68	4	13	450	5000	20	uniform	1	1	8	3	1852	3.12431478630207	0.0375148351769419
69	4	13	450	5000	20	repetition	1	1	4	161	1985	3.20548458663674	0.0490839095451362
70	4	13	450	7000	20	gaussian	1	1	9	38	1841	3.23197415002595	0.0434625609861206
71	4	13	450	7000	20	uniform	1	1	9	2	1862	2.82620043193393	NaN
72	4	13	450	7000	20	repetition	1	1	4	157	1985	3.20319816726606	0.0490840070350883
73	4	14	350	5000	20	gaussian	1	1	8	55	1826	3.36220471167946	0.0446827899269319
74	4	14	350	5000	20	uniform	1	1	7	181	1797	3.18817316287479	0.0749856019334593
75	4	14	350	5000	20	repetition	1	1	5	1	1427	3.08391707295909	NaN
76	4	14	350	7000	20	gaussian	1	1	8	53	1824	3.38289672930427	0.0429996769184126
77	4	14	350	7000	20	uniform	1	1	7	157	1814	3.04275728827474	NaN
78	4	14	350	7000	20	repetition	1	1	4	48	1954	3.53282982729449	0.0169098222105023
79	4	14	450	5000	20	gaussian	1	1	8	51	1823	3.3571073334406	0.0436479737506549
80	4	14	450	5000	20	uniform	1	1	7	174	1810	3.0676325430488	NaN
81	4	14	450	5000	20	repetition	1	1	4	47	1953	3.52209227000715	0.0173382544797573
82	4	14	450	7000	20	gaussian	1	1	8	54	1821	3.34727913936299	0.0455342124929349
83	4	14	450	7000	20	uniform	1	1	7	150	1817	3.01947688155397	NaN
84	4	14	450	7000	20	repetition	1	1	4	45	1957	3.52300571142156	0.0174504321284532
85	4	15	350	5000	20	gaussian	1	1	9	28	1813	3.29028649425612	0.0438309818159736
86	4	15	350	5000	20	uniform	1	1	9	2	1856	2.79554745278662	NaN
87	4	15	350	5000	20	repetition	1	1	5	16	1971	3.15885903363419	0.0403170903466211
88	4	15	350	7000	20	gaussian	1	1	9	17	1825	3.22785476201634	0.0404695420521959
89	4	15	350	7000	20	uniform	1	1	9	2	1854	2.7893153518099	NaN
90	4	15	350	7000	20	repetition	1	1	5	19	1990	3.15043431745106	0.0383546295542989
91	4	15	450	5000	20	gaussian	1	1	9	21	1820	3.20912010003645	0.0453586303543664
92	4	15	450	5000	20	uniform	1	1	8	3	1853	3.07948160165551	0.039067402708572
93	4	15	450	5000	20	repetition	1	1	5	20	1984	3.17694130374577	0.0379737903359534
94	4	15	450	7000	20	gaussian	1	1	9	15	1828	3.18457246653399	0.0459217928453163
95	4	15	450	7000	20	uniform	1	1	9	2	1856	2.79522121591889	NaN
96	4	15	450	7000	20	repetition	1	1	5	21	1988	3.16002754637326	0.0393948416368965
